Community Name,Category,Crime Count,Date
CALGARY INTERNATIONAL AIRPORT,Violence Other (Non-domestic),2,1/1/2017 0:00
CAMBRIAN HEIGHTS,Break & Enter - Commercial,1,1/1/2017 0:00
CAMBRIAN HEIGHTS,Break & Enter - Dwelling,1,1/1/2017 0:00
CAMBRIAN HEIGHTS,Break & Enter - Other Premises,1,1/1/2017 0:00
CAMBRIAN HEIGHTS,Theft FROM Vehicle,2,1/1/2017 0:00
CAMBRIAN HEIGHTS,Theft OF Vehicle,2,1/1/2017 0:00
CANADA OLYMPIC PARK,Theft FROM Vehicle,4,1/1/2017 0:00
CANYON MEADOWS,Assault (Non-domestic),1,1/1/2017 0:00
CANYON MEADOWS,Break & Enter - Commercial,3,1/1/2017 0:00
CANYON MEADOWS,Break & Enter - Dwelling,1,1/1/2017 0:00
CANYON MEADOWS,Break & Enter - Other Premises,1,1/1/2017 0:00
CANYON MEADOWS,Theft FROM Vehicle,8,1/1/2017 0:00
CANYON MEADOWS,Theft OF Vehicle,3,1/1/2017 0:00
CAPITOL HILL,Break & Enter - Commercial,1,1/1/2017 0:00
CAPITOL HILL,Break & Enter - Dwelling,1,1/1/2017 0:00
CAPITOL HILL,Break & Enter - Other Premises,1,1/1/2017 0:00
CAPITOL HILL,Commercial Robbery,1,1/1/2017 0:00
CAPITOL HILL,Theft FROM Vehicle,5,1/1/2017 0:00
CASTLERIDGE,Break & Enter - Commercial,1,1/1/2017 0:00
CASTLERIDGE,Break & Enter - Other Premises,2,1/1/2017 0:00
CASTLERIDGE,Theft FROM Vehicle,10,1/1/2017 0:00
CASTLERIDGE,Theft OF Vehicle,4,1/1/2017 0:00
CASTLERIDGE,Violence Other (Non-domestic),3,1/1/2017 0:00
CEDARBRAE,Break & Enter - Dwelling,1,1/1/2017 0:00
CEDARBRAE,Break & Enter - Other Premises,1,1/1/2017 0:00
CEDARBRAE,Theft FROM Vehicle,1,1/1/2017 0:00
CEDARBRAE,Theft OF Vehicle,1,1/1/2017 0:00
CHAPARRAL,Break & Enter - Commercial,3,1/1/2017 0:00
CHAPARRAL,Theft FROM Vehicle,3,1/1/2017 0:00
CHAPARRAL,Theft OF Vehicle,3,1/1/2017 0:00
CHARLESWOOD,Break & Enter - Other Premises,2,1/1/2017 0:00
CHARLESWOOD,Theft OF Vehicle,1,1/1/2017 0:00
CHINATOWN,Break & Enter - Commercial,1,1/1/2017 0:00
CHINATOWN,Street Robbery,1,1/1/2017 0:00
